id_cliente,eta,numero_transazioni_uscita,numero_transazioni_entrata,importo_uscita_totale,importo_entrata_totale,numero_totale_conti,numero_conti_base,numero_conti_business,numero_conti_privati,numero_conti_famiglie,num_tr_uscita_conti_base,num_tr_uscita_conti_business,num_tr_uscita_conti_privati,num_tr_uscita_conti_famiglie,num_tr_entrata_conti_base,num_tr_entrata_conti_business,num_tr_entrata_conti_privati,num_tr_entrata_conti_famiglie,imp_uscita_tot_conti_base,imp_uscita_tot_conti_business,imp_uscita_tot_conti_privati,imp_uscita_tot_conti_famiglie,imp_entrata_tot_conti_base,imp_entrata_tot_conti_business,imp_entrata_tot_conti_privati,imp_entrata_tot_conti_famiglie
15,58,159,25,-14137.63,2083.36,3,2,0,0,1,112,0,0,47,18,0,0,7,-11111.99,0.00,0.00,-3025.65,1596.29,0.00,0.00,487.07
16,34,183,43,-15026.21,3126.64,4,0,0,1,3,0,0,50,133,0,0,12,31,0.00,0.00,-4480.09,-10546.12,0.00,0.00,950.17,2176.47
17,58,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18,55,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19,45,56,7,-4808.99,467.33,1,0,0,0,1,0,0,0,56,0,0,0,7,0.00,0.00,0.00,-4808.99,0.00,0.00,0.00,467.33
20,29,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,52,134,18,-12999.07,1268.04,2,1,0,1,0,70,0,64,0,12,0,6,0,-5694.72,0.00,-7304.36,0.00,894.76,0.00,373.28,0.00
22,28,51,10,-4553.98,529.96,1,0,1,0,0,0,51,0,0,0,10,0,0,0.00,-4553.98,0.00,0.00,0.00,529.96,0.00,0.00
23,46,47,8,-3528.07,711.68,1,0,0,1,0,0,0,47,0,0,0,8,0,0.00,0.00,-3528.07,0.00,0.00,0.00,711.68,0.00
24,45,51,10,-3722.11,618.70,1,0,0,1,0,0,0,51,0,0,0,10,0,0.00,0.00,-3722.11,0.00,0.00,0.00,618.70,0.00
25,25,91,25,-6918.90,1691.03,2,1,0,1,0,47,0,44,0,11,0,14,0,-3753.78,0.00,-3165.12,0.00,523.60,0.00,1167.43,0.00
26,52,44,10,-4851.12,479.14,1,0,0,0,1,0,0,0,44,0,0,0,10,0.00,0.00,0.00,-4851.12,0.00,0.00,0.00,479.14
27,55,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
28,46,95,17,-7384.90,1107.37,2,1,1,0,0,46,49,0,0,9,8,0,0,-3726.06,-3658.84,0.00,0.00,613.10,494.27,0.00,0.00
29,26,120,24,-11252.11,2616.09,2,0,1,0,1,0,68,0,52,0,9,0,15,0.00,-6354.62,0.00,-4897.49,0.00,547.72,0.00,2068.37
30,63,54,4,-3319.25,334.54,1,1,0,0,0,54,0,0,0,4,0,0,0,-3319.25,0.00,0.00,0.00,334.54,0.00,0.00,0.00
31,36,57,9,-4118.73,846.31,1,0,0,0,1,0,0,0,57,0,0,0,9,0.00,0.00,0.00,-4118.73,0.00,0.00,0.00,846.31
32,48,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,45,97,18,-7357.44,1554.20,2,0,0,1,1,0,0,40,57,0,0,12,6,0.00,0.00,-3308.89,-4048.54,0.00,0.00,934.81,619.38
34,39,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,32,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
36,66,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
37,55,45,7,-3773.81,248.43,1,0,0,1,0,0,0,45,0,0,0,7,0,0.00,0.00,-3773.81,0.00,0.00,0.00,248.43,0.00
38,42,137,31,-13313.52,1886.74,3,2,0,0,1,86,0,0,51,21,0,0,10,-9618.73,0.00,0.00,-3694.79,1460.41,0.00,0.00,426.33
39,45,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
40,40,143,22,-12627.92,1696.21,3,0,0,1,2,0,0,41,102,0,0,7,15,0.00,0.00,-3859.34,-8768.58,0.00,0.00,615.47,1080.74
41,66,51,13,-4465.70,743.34,1,0,0,0,1,0,0,0,51,0,0,0,13,0.00,0.00,0.00,-4465.70,0.00,0.00,0.00,743.34
42,29,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,56,39,8,-3121.51,1270.82,1,0,1,0,0,0,39,0,0,0,8,0,0,0.00,-3121.51,0.00,0.00,0.00,1270.82,0.00,0.00
44,59,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45,51,54,8,-3670.79,453.78,1,0,1,0,0,0,54,0,0,0,8,0,0,0.00,-3670.79,0.00,0.00,0.00,453.78,0.00,0.00
46,47,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47,59,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,64,49,10,-2939.81,247.17,1,0,0,1,0,0,0,49,0,0,0,10,0,0.00,0.00,-2939.81,0.00,0.00,0.00,247.17,0.00
49,41,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,65,52,12,-3234.12,666.46,1,0,0,1,0,0,0,52,0,0,0,12,0,0.00,0.00,-3234.12,0.00,0.00,0.00,666.46,0.00
51,36,119,23,-10532.96,1844.01,2,0,1,1,0,0,54,65,0,0,15,8,0,0.00,-4460.48,-6072.48,0.00,0.00,1021.22,822.79,0.00
52,55,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
53,55,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
54,66,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
55,44,54,7,-3250.82,695.06,1,1,0,0,0,54,0,0,0,7,0,0,0,-3250.82,0.00,0.00,0.00,695.06,0.00,0.00,0.00
56,26,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
57,27,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
58,54,49,9,-4681.24,816.26,1,0,1,0,0,0,49,0,0,0,9,0,0,0.00,-4681.24,0.00,0.00,0.00,816.26,0.00,0.00
59,62,95,24,-7952.91,3106.66,2,1,0,0,1,49,0,0,46,13,0,0,11,-4809.60,0.00,0.00,-3143.31,885.01,0.00,0.00,2221.65
60,62,108,21,-7868.11,1896.09,2,0,1,1,0,0,52,56,0,0,12,9,0,0.00,-4352.14,-3515.97,0.00,0.00,1182.33,713.76,0.00
61,54,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62,59,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63,58,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,41,106,13,-9310.67,1009.03,2,0,1,0,1,0,57,0,49,0,7,0,6,0.00,-5473.28,0.00,-3837.38,0.00,670.13,0.00,338.90
65,33,86,17,-7351.83,1537.31,2,1,1,0,0,40,46,0,0,3,14,0,0,-3839.26,-3512.56,0.00,0.00,286.08,1251.23,0.00,0.00
66,35,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
67,51,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
68,26,121,20,-11065.55,1914.87,2,1,1,0,0,64,57,0,0,10,10,0,0,-5503.57,-5561.98,0.00,0.00,1095.19,819.68,0.00,0.00
69,50,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
70,40,57,9,-4540.06,613.66,1,0,0,1,0,0,0,57,0,0,0,9,0,0.00,0.00,-4540.06,0.00,0.00,0.00,613.66,0.00
71,62,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
72,45,45,10,-4642.41,876.79,1,0,0,1,0,0,0,45,0,0,0,10,0,0.00,0.00,-4642.41,0.00,0.00,0.00,876.79,0.00
73,31,54,10,-3461.45,763.87,1,1,0,0,0,54,0,0,0,10,0,0,0,-3461.45,0.00,0.00,0.00,763.87,0.00,0.00,0.00
74,32,46,9,-3620.27,853.05,1,0,0,1,0,0,0,46,0,0,0,9,0,0.00,0.00,-3620.27,0.00,0.00,0.00,853.05,0.00
75,32,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
76,53,58,9,-4335.06,338.16,1,0,1,0,0,0,58,0,0,0,9,0,0,0.00,-4335.06,0.00,0.00,0.00,338.16,0.00,0.00
77,62,53,13,-3831.75,1202.70,1,0,0,0,1,0,0,0,53,0,0,0,13,0.00,0.00,0.00,-3831.75,0.00,0.00,0.00,1202.70
78,34,156,32,-11098.47,3213.91,3,1,1,1,0,47,57,52,0,13,10,9,0,-3114.92,-4478.31,-3505.24,0.00,856.97,1594.52,762.43,0.00
79,38,50,7,-4138.17,630.29,1,0,1,0,0,0,50,0,0,0,7,0,0,0.00,-4138.17,0.00,0.00,0.00,630.29,0.00,0.00
80,42,103,25,-7648.94,1811.36,2,0,1,0,1,0,43,0,60,0,9,0,16,0.00,-3212.51,0.00,-4436.43,0.00,594.16,0.00,1217.20
81,34,98,15,-9124.09,887.32,2,0,1,1,0,0,53,45,0,0,8,7,0,0.00,-5310.46,-3813.63,0.00,0.00,663.37,223.95,0.00
82,50,102,28,-8353.86,2001.19,2,1,1,0,0,48,54,0,0,11,17,0,0,-3781.74,-4572.12,0.00,0.00,886.56,1114.63,0.00,0.00
83,62,166,36,-13680.76,3374.69,3,0,2,0,1,0,120,0,46,0,25,0,11,0.00,-11264.81,0.00,-2415.95,0.00,2031.38,0.00,1343.31
84,62,50,11,-4372.44,740.47,1,0,0,1,0,0,0,50,0,0,0,11,0,0.00,0.00,-4372.44,0.00,0.00,0.00,740.47,0.00
85,38,49,6,-3745.55,208.19,1,1,0,0,0,49,0,0,0,6,0,0,0,-3745.55,0.00,0.00,0.00,208.19,0.00,0.00,0.00
86,35,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
87,33,102,18,-9056.53,1217.78,2,0,0,1,1,0,0,42,60,0,0,5,13,0.00,0.00,-3145.24,-5911.29,0.00,0.00,452.24,765.53
88,30,149,29,-11979.10,2297.53,3,0,0,1,2,0,0,54,95,0,0,12,17,0.00,0.00,-3792.59,-8186.52,0.00,0.00,676.38,1621.15
89,28,93,19,-6713.27,1398.62,2,1,1,0,0,48,45,0,0,12,7,0,0,-3811.38,-2901.89,0.00,0.00,1116.09,282.54,0.00,0.00
90,53,89,19,-5481.39,1299.32,2,1,1,0,0,45,44,0,0,9,10,0,0,-2753.72,-2727.67,0.00,0.00,717.28,582.04,0.00,0.00
91,28,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
92,40,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
93,30,104,18,-6623.51,2221.88,2,0,0,1,1,0,0,57,47,0,0,9,9,0.00,0.00,-3580.87,-3042.64,0.00,0.00,1007.04,1214.83
94,29,114,21,-8241.09,1895.06,2,0,1,0,1,0,60,0,54,0,9,0,12,0.00,-4577.76,0.00,-3663.33,0.00,616.52,0.00,1278.54
95,31,50,8,-3047.78,551.76,1,1,0,0,0,50,0,0,0,8,0,0,0,-3047.78,0.00,0.00,0.00,551.76,0.00,0.00,0.00
96,49,101,14,-6007.39,1440.55,2,1,0,1,0,57,0,44,0,7,0,7,0,-3537.24,0.00,-2470.15,0.00,1114.79,0.00,325.76,0.00
97,30,105,23,-7175.00,2085.54,2,0,1,1,0,0,63,42,0,0,15,8,0,0.00,-4815.50,-2359.50,0.00,0.00,1208.57,876.97,0.00
98,49,49,6,-3155.77,448.93,1,0,1,0,0,0,49,0,0,0,6,0,0,0.00,-3155.77,0.00,0.00,0.00,448.93,0.00,0.00
99,44,61,11,-3964.64,906.63,1,0,1,0,0,0,61,0,0,0,11,0,0,0.00,-3964.64,0.00,0.00,0.00,906.63,0.00,0.00
100,40,205,27,-17249.72,2443.39,4,0,1,3,0,0,48,157,0,0,4,23,0,0.00,-3994.20,-13255.52,0.00,0.00,329.47,2113.92,0.00
101,33,104,22,-8889.47,1590.73,2,1,1,0,0,51,53,0,0,9,13,0,0,-4817.23,-4072.24,0.00,0.00,530.38,1060.35,0.00,0.00
102,59,107,20,-7387.67,1082.69,2,0,1,1,0,0,58,49,0,0,11,9,0,0.00,-4076.88,-3310.79,0.00,0.00,544.95,537.73,0.00
103,54,171,25,-12734.37,3514.32,3,1,0,1,1,60,0,53,58,8,0,3,14,-4734.93,0.00,-3840.38,-4159.06,1796.93,0.00,302.16,1415.24
104,58,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
105,48,52,8,-3830.80,1092.06,1,0,1,0,0,0,52,0,0,0,8,0,0,0.00,-3830.80,0.00,0.00,0.00,1092.06,0.00,0.00
106,50,170,27,-15858.82,1912.43,3,0,3,0,0,0,170,0,0,0,27,0,0,0.00,-15858.82,0.00,0.00,0.00,1912.43,0.00,0.00
107,66,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
108,26,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
109,34,49,7,-4935.69,925.74,1,1,0,0,0,49,0,0,0,7,0,0,0,-4935.69,0.00,0.00,0.00,925.74,0.00,0.00,0.00
110,30,57,4,-5330.44,536.67,1,0,0,1,0,0,0,57,0,0,0,4,0,0.00,0.00,-5330.44,0.00,0.00,0.00,536.67,0.00
111,28,165,23,-14582.06,1483.39,3,0,1,1,1,0,63,54,48,0,10,12,1,0.00,-6096.42,-4937.05,-3548.59,0.00,475.87,795.77,211.75
112,38,96,17,-9080.01,1298.96,2,1,0,0,1,52,0,0,44,8,0,0,9,-4286.50,0.00,0.00,-4793.51,536.10,0.00,0.00,762.86
113,43,40,7,-3185.95,750.22,1,1,0,0,0,40,0,0,0,7,0,0,0,-3185.95,0.00,0.00,0.00,750.22,0.00,0.00,0.00
114,33,58,10,-4493.93,692.40,1,0,0,0,1,0,0,0,58,0,0,0,10,0.00,0.00,0.00,-4493.93,0.00,0.00,0.00,692.40
115,54,54,12,-4259.10,2409.05,1,1,0,0,0,54,0,0,0,12,0,0,0,-4259.10,0.00,0.00,0.00,2409.05,0.00,0.00,0.00
116,35,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
117,26,176,35,-13970.36,2879.61,3,1,0,1,1,53,0,65,58,16,0,11,8,-4973.48,0.00,-5238.99,-3757.89,1128.67,0.00,1057.96,692.98
118,41,109,20,-8433.46,1457.63,2,0,0,2,0,0,0,109,0,0,0,20,0,0.00,0.00,-8433.46,0.00,0.00,0.00,1457.63,0.00
119,54,57,7,-3985.56,502.07,1,0,0,1,0,0,0,57,0,0,0,7,0,0.00,0.00,-3985.56,0.00,0.00,0.00,502.07,0.00
120,27,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
121,35,49,13,-4150.65,1309.67,1,0,0,1,0,0,0,49,0,0,0,13,0,0.00,0.00,-4150.65,0.00,0.00,0.00,1309.67,0.00
122,67,158,32,-11492.46,2225.53,3,0,0,1,2,0,0,55,103,0,0,12,20,0.00,0.00,-4430.95,-7061.51,0.00,0.00,580.80,1644.73
123,61,106,28,-8359.52,1438.41,2,2,0,0,0,106,0,0,0,28,0,0,0,-8359.52,0.00,0.00,0.00,1438.41,0.00,0.00,0.00
124,29,60,9,-6126.36,570.64,1,0,0,0,1,0,0,0,60,0,0,0,9,0.00,0.00,0.00,-6126.36,0.00,0.00,0.00,570.64
125,35,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
126,66,59,12,-5904.03,769.67,1,1,0,0,0,59,0,0,0,12,0,0,0,-5904.03,0.00,0.00,0.00,769.67,0.00,0.00,0.00
127,62,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
128,58,51,9,-4110.66,604.98,1,0,1,0,0,0,51,0,0,0,9,0,0,0.00,-4110.66,0.00,0.00,0.00,604.98,0.00,0.00
129,51,162,45,-13007.80,3486.08,4,0,1,2,1,0,48,86,28,0,14,18,13,0.00,-3481.06,-7435.75,-2090.99,0.00,850.16,1352.30,1283.62
130,51,53,13,-3724.88,1035.49,1,0,0,1,0,0,0,53,0,0,0,13,0,0.00,0.00,-3724.88,0.00,0.00,0.00,1035.49,0.00
131,49,126,13,-9863.57,895.87,2,2,0,0,0,126,0,0,0,13,0,0,0,-9863.57,0.00,0.00,0.00,895.87,0.00,0.00,0.00
132,46,52,14,-3990.29,436.75,1,0,0,1,0,0,0,52,0,0,0,14,0,0.00,0.00,-3990.29,0.00,0.00,0.00,436.75,0.00
133,53,150,30,-14474.12,2887.67,3,0,0,1,2,0,0,43,107,0,0,11,19,0.00,0.00,-3461.44,-11012.68,0.00,0.00,1452.16,1435.51
134,43,55,8,-5157.53,602.50,1,0,1,0,0,0,55,0,0,0,8,0,0,0.00,-5157.53,0.00,0.00,0.00,602.50,0.00,0.00
135,53,96,16,-7395.23,1149.43,2,2,0,0,0,96,0,0,0,16,0,0,0,-7395.23,0.00,0.00,0.00,1149.43,0.00,0.00,0.00
136,43,37,11,-2270.20,1273.33,1,0,0,1,0,0,0,37,0,0,0,11,0,0.00,0.00,-2270.20,0.00,0.00,0.00,1273.33,0.00
137,45,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
138,25,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
139,29,208,34,-17307.10,3401.65,4,2,1,1,0,112,45,51,0,18,5,11,0,-11770.21,-2621.33,-2915.56,0.00,1898.21,802.54,700.90,0.00
140,60,51,15,-5583.16,1392.09,1,0,0,0,1,0,0,0,51,0,0,0,15,0.00,0.00,0.00,-5583.16,0.00,0.00,0.00,1392.09
141,63,48,10,-3713.39,464.17,1,1,0,0,0,48,0,0,0,10,0,0,0,-3713.39,0.00,0.00,0.00,464.17,0.00,0.00,0.00
142,25,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
143,28,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
144,38,50,11,-4085.62,1058.38,1,1,0,0,0,50,0,0,0,11,0,0,0,-4085.62,0.00,0.00,0.00,1058.38,0.00,0.00,0.00
145,58,96,19,-7930.55,3222.85,2,0,1,0,1,0,53,0,43,0,10,0,9,0.00,-3880.02,0.00,-4050.52,0.00,1042.05,0.00,2180.80
146,37,47,7,-4233.41,511.35,1,0,1,0,0,0,47,0,0,0,7,0,0,0.00,-4233.41,0.00,0.00,0.00,511.35,0.00,0.00
147,27,107,18,-8568.46,1868.18,2,0,1,0,1,0,54,0,53,0,9,0,9,0.00,-5053.64,0.00,-3514.82,0.00,1007.54,0.00,860.65
148,32,83,14,-7134.98,1135.50,2,1,0,0,1,49,0,0,34,4,0,0,10,-4820.48,0.00,0.00,-2314.51,179.81,0.00,0.00,955.69
149,64,47,12,-4629.45,881.23,1,0,1,0,0,0,47,0,0,0,12,0,0,0.00,-4629.45,0.00,0.00,0.00,881.23,0.00,0.00
150,46,97,16,-9494.24,1139.06,2,0,1,0,1,0,50,0,47,0,9,0,7,0.00,-6051.14,0.00,-3443.09,0.00,741.55,0.00,397.51
151,28,100,25,-8785.91,1637.38,2,1,0,1,0,46,0,54,0,14,0,11,0,-3905.17,0.00,-4880.74,0.00,1140.35,0.00,497.03,0.00
152,54,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
153,33,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
154,27,100,19,-7441.56,1355.37,2,1,0,0,1,53,0,0,47,8,0,0,11,-4305.85,0.00,0.00,-3135.71,713.57,0.00,0.00,641.79
155,40,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
156,37,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
157,37,195,38,-13199.34,3797.32,4,1,1,0,2,54,39,0,102,13,5,0,20,-2979.62,-3141.64,0.00,-7078.09,1477.40,276.15,0.00,2043.78
158,44,0,0,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
159,39,52,9,-3647.90,834.59,1,0,0,0,1,0,0,0,52,0,0,0,9,0.00,0.00,0.00,-3647.90,0.00,0.00,0.00,834.59
160,54,42,7,-2866.03,304.27,1,1,0,0,0,42,0,0,0,7,0,0,0,-2866.03,0.00,0.00,0.00,304.27,0.00,0.00,0.00
161,66,45,11,-3022.00,1134.97,1,0,0,1,0,0,0,45,0,0,0,11,0,0.00,0.00,-3022.00,0.00,0.00,0.00,1134.97,0.00
162,31,51,13,-3595.98,1241.15,1,0,0,0,1,0,0,0,51,0,0,0,13,0.00,0.00,0.00,-3595.98,0.00,0.00,0.00,1241.15
163,65,101,26,-7606.86,2637.33,2,0,2,0,0,0,101,0,0,0,26,0,0,0.00,-7606.86,0.00,0.00,0.00,2637.33,0.00,0.00
164,30,60,13,-5193.65,750.32,1,1,0,0,0,60,0,0,0,13,0,0,0,-5193.65,0.00,0.00,0.00,750.32,0.00,0.00,0.00
165,62,109,25,-7795.40,1735.10,2,0,1,0,1,0,52,0,57,0,20,0,5,0.00,-3700.13,0.00,-4095.27,0.00,1194.74,0.00,540.36
166,57,45,12,-3382.35,842.09,1,0,1,0,0,0,45,0,0,0,12,0,0,0.00,-3382.35,0.00,0.00,0.00,842.09,0.00,0.00
167,42,59,12,-7462.18,592.73,1,0,0,0,1,0,0,0,59,0,0,0,12,0.00,0.00,0.00,-7462.18,0.00,0.00,0.00,592.73
168,35,47,11,-3933.75,1008.77,1,0,0,0,1,0,0,0,47,0,0,0,11,0.00,0.00,0.00,-3933.75,0.00,0.00,0.00,1008.77
